ORCIDiD,name,country,education,works
https://orcid.org/0000-0001-9950-2497,Colin B. Phillips,United States,University of Minnesota,7
https://orcid.org/0000-0002-9781-0821,Thomas Wotte,,,11
https://orcid.org/0000-0001-5915-5697,Elsa Alvaro,United States,Universidad Complutense de Madrid,11
https://orcid.org/0000-0002-4562-9174,Matthias Esch,Germany,Philipps-Universitat Marburg Fachbereich Medizin,6
https://orcid.org/0000-0002-8134-8839,sumit chatterji,,,10
https://orcid.org/0000-0003-0792-8322,Joseph D. Monaco,,Columbia University Medical Center,11
https://orcid.org/0000-0003-2796-9949,Erik Coats,,Washington State University,40
https://orcid.org/0000-0001-6462-6676,Jiaxing Xie,,Guangzhou Medical College,24
https://orcid.org/0000-0002-0050-6787,John A. Lewis,,University of Sheffield,98
https://orcid.org/0000-0002-7075-6802,Kathryn,United States,,43
https://orcid.org/0000-0002-2604-0719,Nathan Fisher,,Centre College,18
https://orcid.org/0000-0002-7999-1892,Marco Marques,Portugal,,10
https://orcid.org/0000-0002-9326-6478,Robert Bransfield,United States,Rutgers University New Brunswick,29
https://orcid.org/0000-0002-4895-2831,Lizette Nolte,,,25
https://orcid.org/0000-0002-5044-1336,Chris Jones,New Zealand,University of Durham ,12
https://orcid.org/0000-0001-6185-0410,Asankhaya Sharma,Singapore,National Institute of Technology Warangal,24
https://orcid.org/0000-0002-7682-4714,Rui Machado,,,11
https://orcid.org/0000-0002-1416-8205,Josue Leonardo Castro-Mejia,Denmark,University of Copenhagen,10
https://orcid.org/0000-0002-8893-9498,Sarah McKim,,,14
https://orcid.org/0000-0002-4694-9524,Yurii Mezentsev,Russia,Novosibirsk State Technical University,12
https://orcid.org/0000-0003-4660-0979,Anja Schiemann,,,18
https://orcid.org/0000-0001-6290-2948,Imran Muhammad ,,,15
https://orcid.org/0000-0001-9394-5027,Belen Lahoz,,,13
https://orcid.org/0000-0003-0520-1517,Liudmil Antonov,,,94
https://orcid.org/0000-0002-7270-9612,Stefano Ghirlanda,United States,"University of Rome ""La Sapienza""",52
https://orcid.org/0000-0001-9470-2369,Christopher James Sampson,United Kingdom,University of Nottingham,39
https://orcid.org/0000-0002-7629-5365,V¨¢clava Ad¨¢mkov¨¢,,3rd Medical Faculty,22
https://orcid.org/0000-0002-3984-2059,Barry Lee Reynolds,Macau SAR China,,24
https://orcid.org/0000-0003-0683-9547,Jed Gorden,,,27
https://orcid.org/0000-0001-8393-9344,Peter Nelson Lindfield,,University of St Andrews,28
https://orcid.org/0000-0003-3521-3535,Kathryn Davidson,Australia,,26
https://orcid.org/0000-0001-5907-3798,Juliana Braga,Brazil,Universidade Federal do Piau¨ª,16
https://orcid.org/0000-0003-0582-9048,Luke O'Loughlin,Australia,La Trobe University,20
https://orcid.org/0000-0002-1438-0820,Ling-Yi Lin,,,19
https://orcid.org/0000-0002-6249-4718,Anita Van der Merwe,,University of Pretoria,41
https://orcid.org/0000-0003-0363-8096,Tequila Brooks,,Tilburg University,18
https://orcid.org/0000-0003-0671-4648,Matteo Guelfi,Italy,Universit¨¤ degli Studi G. d'Annunzio Chieti - Pescara,21
https://orcid.org/0000-0002-7047-8814,Torsten Rohlfing,United States,Stanford University School of Medicine,13
https://orcid.org/0000-0002-0404-5420,Lillo R,,,23
https://orcid.org/0000-0001-9938-6844,Vijaykumar Chaudhary,India,Charotar University of Science and Technology Chandubhai S Patel Institute of Technology,38
https://orcid.org/0000-0003-2740-3259,Constantinos P. Zambirinis,,National and Kapodistrian University of Athens - Faculty of Medicine,24
https://orcid.org/0000-0002-0593-9602,Petr Krejci,Czech Republic,,53
https://orcid.org/0000-0003-2433-6126,Conrado A. Bosman,Netherlands,Universidad de Chile,35
https://orcid.org/0000-0003-1168-4818,Charles Martinez,Gibraltar,,10
https://orcid.org/0000-0002-4569-0995,Maria Christina Sanches Muratori,,Universidade Federal de Minas Gerais,62
https://orcid.org/0000-0001-5209-6436,Amin Talebi Bezmin Abadi,Iran,"Faculty of Medical Sciences, Tarbiat Modares University ",59
https://orcid.org/0000-0001-7910-0554,Sinisa Savic,,University of Leeds,79
https://orcid.org/0000-0002-0907-5063,Willemien Du Plessis,South Africa,North-West University Faculty of Law,33
https://orcid.org/0000-0003-1319-6092,Nathalie DESMASURES,,,36
https://orcid.org/0000-0003-3455-8638,Larisa Sogacheva,,,38
https://orcid.org/0000-0003-4503-4602,Vesselin Petrov,,,34
https://orcid.org/0000-0002-6776-5281,Federico Holik,Argentina,Consejo Nacional de Investigaciones Cientificas y Tecnicas,38
https://orcid.org/0000-0002-8352-4234,Roman Brunecky,,University of Colorado Health Sciences Center,35
https://orcid.org/0000-0001-7206-5231,Li-Chung Hsu,Taiwan,University of Illinois at Chicago College of Medicine,28
https://orcid.org/0000-0002-9510-6574,Yulei Sui,,,33
https://orcid.org/0000-0002-7233-7230,Igor Miljanovic,,University of Belgrade. Faculty of Mining and Geology,23
https://orcid.org/0000-0002-9260-2804,Jose Folcj,,,35
https://orcid.org/0000-0002-8009-4865,Congfeng  Xu,China,Medical Center of Fudan University,26
https://orcid.org/0000-0002-4667-8357,Humberto Ortiz-Zuazaga,Puerto Rico,University of Puerto Rico Mayaguez,25
https://orcid.org/0000-0003-2716-5502,Erik Andersson,,Stockholms Universitet Naturvetenskapliga fakulteten,45
https://orcid.org/0000-0003-2304-6661,Orazio De Lucia,Italy,University of Milan,30
https://orcid.org/0000-0002-0205-5094,Yudith del Carmen Gonz¨¢lez Valecillos,Venezuela,Instituto Universitario de Tecnolog¨ªa Antonio Jos¨¦ de Sucre ,4
https://orcid.org/0000-0001-6113-9960,Florent Demoraes,,,14
https://orcid.org/0000-0002-4677-6678,Alessandro Daducci,Italy,,18
https://orcid.org/0000-0002-3424-1086,Matthew Settles,,University of Portland,64
https://orcid.org/0000-0002-3474-2884,Francesca De Filippis,Italy,,50
https://orcid.org/0000-0002-3953-7724,Susan Walker,,Queensland University of Technology,94
https://orcid.org/0000-0003-1743-6313,Atinati Mamatsashvili,,Aix-Marseille Universit¨¦,21
https://orcid.org/0000-0003-3484-6875,K. J. Garza,Germany,University of Manchester,31
https://orcid.org/0000-0001-7075-2476,Carmen Berasain,,,104
https://orcid.org/0000-0002-8875-0943,Jessica Bell,Germany,University of New South Wales,15
https://orcid.org/0000-0002-1338-1290,Rachel Gibson,,King's College London - Guy's Campus,55
https://orcid.org/0000-0002-1745-2797,Giulia Tozzi,Italy,University of Rome Tor Vergata,54
https://orcid.org/0000-0002-6432-4958,Thomas M. Duncan,United States,,38
https://orcid.org/0000-0002-6367-1843,Ginevra Zanni,,,49
https://orcid.org/0000-0002-9080-0305,Cristina Kokron,Brazil,Universidade Federal de Sao Paulo Escola Paulista de Medicina,49
https://orcid.org/0000-0002-1166-4000,Ottavia Corbi,,,50
https://orcid.org/0000-0002-4698-6448,Ian Donohue,,,50
https://orcid.org/0000-0003-4197-3792,Julie E. Niemela,United States,Johns Hopkins University,43
https://orcid.org/0000-0002-1733-9938,Barbara Zanini,Italy,Universit¨¤ degli Studi di Brescia,38
https://orcid.org/0000-0002-8941-0369,Ferran Casals,Spain,Universitat Aut¨°noma de Barcelona,47
https://orcid.org/0000-0002-5524-6177,Daniel Lumsden,,,53
https://orcid.org/0000-0001-9536-1631,Yoichi Murakami,Japan,,61
https://orcid.org/0000-0001-5015-8103,Jos¨¦ Luis Alabart,,,53
https://orcid.org/0000-0002-6146-8331,Annamaria Ricciardi,,,60
https://orcid.org/0000-0002-5735-6345,F. Morant,Spain,Universitat Polit¨¨cnica de Val¨¨ncia,43
https://orcid.org/0000-0002-4582-2062,Jiri Janata,,,48
https://orcid.org/0000-0001-9388-8173,"Oliveira, JB",,,48
https://orcid.org/0000-0003-1783-6296,Ben Kinnersley,,University of Cambridge,34
https://orcid.org/0000-0003-2151-7802,Finn Vogensen,,,54
https://orcid.org/0000-0002-7284-8954,Willett Kempton,,,73
https://orcid.org/0000-0001-8043-0710,Eric Laurier,United Kingdom,University of Wales          ,73
https://orcid.org/0000-0002-9471-0227,Ary Setijadi Prihatmanto,Indonesia,Institut Teknologi Bandung,126
https://orcid.org/0000-0003-0180-1865,Largus Angenent,,,146
https://orcid.org/0000-0002-4164-9047,Amy Whitehead,New Zealand,University of Canterbury,21
https://orcid.org/0000-0002-1058-9248,Paruchuri Gangadhar Rao,,National Institute of Technology Warangal,87
https://orcid.org/0000-0001-9091-6140,Kai Leung YUNG,Hong Kong SAR China,Imperial College London,158
https://orcid.org/0000-0003-2276-3925,Kim Orchard,,,64
https://orcid.org/0000-0002-1031-4084,Saidi Mohiddin,,,67
https://orcid.org/0000-0002-4161-3861,Lu Shao,,National University of Singapore,122
https://orcid.org/0000-0003-0519-7845,"Quesada-Perez, Manuel",,,71
https://orcid.org/0000-0003-4642-7977,Juan-Ignacio Latorre-Biel,Spain,,57
https://orcid.org/0000-0001-8860-6020,Marcos De Donato,Mexico,Universidad de Oriente - N¨²cleo de Sucre,69
https://orcid.org/0000-0001-9649-0072,Alexander Foss,,University of Oxford,78
https://orcid.org/0000-0002-6876-6235,Gianluigi Mauriello,,Universita degli Studi di Napoli Federico II Dipartimento di Agraria,62
https://orcid.org/0000-0002-0945-0265,Yuhei Miyauchi,,,65
https://orcid.org/0000-0002-3679-7301,Anita Stuhmcke,,Australian National University,119
https://orcid.org/0000-0003-1019-3363,Alessandro Baratta,,,84
https://orcid.org/0000-0003-1558-6975,David M. Schultz,United Kingdom,Massachusetts Institute of Technology,188
https://orcid.org/0000-0002-5716-2348,Eugenio Parente,Italy,Universita degli Studi di Napoli Federico II Dipartimento di Agraria,128
https://orcid.org/0000-0001-7187-9612,Koichi Kato,,National Institutes of Natural Sciences Exploratory Research Center on Life and Living Systems,100
https://orcid.org/0000-0002-7347-6312,Parham Sendi,,,111
https://orcid.org/0000-0002-3813-0041,Shohei Chiashi,Japan,University of Tokyo,89
https://orcid.org/0000-0001-9598-2235,Cesar Lodeiros,Venezuela,Universite Laval,79
https://orcid.org/0000-0002-5828-6318,Martin Holland,,University of York,114
https://orcid.org/0000-0003-3040-3612,Miikka Dal Maso,Finland,University of Helsinki,92
https://orcid.org/0000-0002-8080-5030,Hanne Kirstine Adriansen,Denmark,University of Copenhagen,88
https://orcid.org/0000-0003-1453-0988,Maria Clara Nucci,,,91
https://orcid.org/0000-0001-7574-3069,konstantinos stamatiou,,National and Kapodistrian University of Athens,119
https://orcid.org/0000-0001-5415-7319,C M Frank Kneepkens,Netherlands,,110
https://orcid.org/0000-0002-0990-9419,Anna Pastore,Italy,Fondazione PTV Policlinico Tor Vergata Dipartimento di Medicina,101
https://orcid.org/0000-0002-0751-0877,Jeff Broadbent,,,98
https://orcid.org/0000-0002-7958-5165,Wen-Dar Huang,Taiwan,National Taiwan University,127
https://orcid.org/0000-0003-1475-0745,Michael O Daramola,South Africa,University of Stellenboch ,100
https://orcid.org/0000-0002-7714-8826,Jon B Cole,United States,University of Colorado Denver School of Medicine,81
https://orcid.org/0000-0003-0334-9470,Olimpia Figueras,,Centro de Investigaci¨®n y de Estudios Avanzados del Instituto Polit¨¦cnico Nacional,87
